date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:59	354/354	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Aug%202023%2018:27:59%20GMT	https://imdakif.wordpress.com/robots.txt		(from )
23:57:59	51310/51310	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202023%2018:28:00%20GMT	https://imdakif.wordpress.com/	C:/My%20Web%20Sites/dotcomaki/imdakif.wordpress.com/index.html	(from )
23:58:01	108763/108763	---MCZ	200	added ('OK')	text/css	etag:W/127550-1691502985617.0132	https://s0.wp.com/wp-content/themes/pub/seedlet/style.css?m=1691491246i&cssminify=yes	C:/My%20Web%20Sites/dotcomaki/s0.wp.com/wp-content/themes/pub/seedlet/style8880.css	(from https://imdakif.wordpress.com/)
23:58:02	369/369	---M--	200	added ('OK')	text/css	etag:%225bffef5b-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/dotcomaki/s1.wp.com/_static/indexd02a.html	(from https://imdakif.wordpress.com/)
23:58:02	1444/1444	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2013%20Aug%202023%2018:28:00%20GMT	https://imdakif.wordpress.com/feed/	C:/My%20Web%20Sites/dotcomaki/imdakif.wordpress.com/feed/index.html	(from https://imdakif.wordpress.com/)
23:58:02	861/861	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c8dfc84642494996a9f8bdfb291a637c%22	https://imdakif.wordpress.com/comments/feed/	C:/My%20Web%20Sites/dotcomaki/imdakif.wordpress.com/comments/feed/index.html	(from https://imdakif.wordpress.com/)
23:58:02	37496/37496	---MCZ	200	added ('OK')	text/css	etag:W/%225bfee31a-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	C:/My%20Web%20Sites/dotcomaki/s1.wp.com/_static/indexba1f.html	(from https://imdakif.wordpress.com/)
23:58:02	2763/2763	---MCZ	200	added ('OK')	text/css	etag:W/3892-1684461278116.7097	https://s2.wp.com/wp-content/themes/pub/seedlet/assets/css/print.css?m=1603804565i&cssminify=yes	C:/My%20Web%20Sites/dotcomaki/s2.wp.com/wp-content/themes/pub/seedlet/assets/css/print6e0d.css	(from https://imdakif.wordpress.com/)
23:58:02	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684460922208.3726	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/dotcomaki/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://imdakif.wordpress.com/)
23:58:03	19307/19307	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619d635a-4b6b%22	https://s1.wp.com/_static/??/wp-content/js/mobile-useragent-info.js,/wp-content/js/rlt-proxy.js?m=1637704497j	C:/My%20Web%20Sites/dotcomaki/s1.wp.com/_static/index7d7d.html	(from https://imdakif.wordpress.com/)
